"","Name","Location","Started on","Notes","Region","URL","Latnum  in miles","Longnum"
"1","Guernsey Parkrun","L'Ancresse, Guernsey","9 Apr 2016","A coastal two-lap course over mixed terrain and passes Guernsey loophole towers. Separate winter and summer courses.","Channel Islands","/wiki/L%27Ancresse","",""
"2","Jersey Parkrun","Saint Brelade, Jersey","26 Sep 2015","Starts and finishes at Les Quennevais Sports Centre and is within walking distance of the airport[12]","Channel Islands","/wiki/Saint_Brelade","49.1969444444444","-2.19666666666667"
"3","Bakewell Parkrun","Hassop, Derbyshire","6 Jan 2018","An out and back run on the Monsal Trail, starting and finishing at Hassop railway station","East Midlands","/wiki/Hassop","53.2469444444444","-1.66694444444444"
"4","Beeston	Parkrun","Beeston, Notts","5 April 2014","At the Weirfields Recreation Ground taking in the River Trent and canal[15]","East Midlands","/wiki/Beeston,_Nottinghamshire","52.9266666666667","-1.21555555555556"
"5","Belton House Parkrun","Belton, Lincolnshire","7 Nov 2011","In the grounds of The National Trust's Grade I listed Belton House","East Midlands","/wiki/Belton,_Lincolnshire","52.9463888888889","-0.616666666666667"
"6","Bestwood Village Parkrun","Bestwood Village, Notts","28 Jan 2017","At Bestwood Country Park[17]","East Midlands","/wiki/Bestwood_Village","53.0230555555556","-1.17861111111111"
"7","Boston Parkrun","Boston, Lincolnshire","24 Oct 2015","At Witham Way Country Park","East Midlands","/wiki/Boston,_Lincolnshire","52.9738888888889","-0.0213888888888889"
"8","Braunstone Parkrun","Braunstone, Leicester","25 Sep 2010","In Braunstone park starting at Braunstone Hall","East Midlands","/wiki/Braunstone_Town","52.6161111111111","-1.175"
"9","Brierley Forest Parkrun","Huthwaite, Notts","10 Sep 2016","An undulating trail run in Brierley Forest Park starting at the forest visitor centre","East Midlands","/wiki/Huthwaite","53.125","-1.30111111111111"
"10","Clifton	Parkrun","Clifton, Notts","13 Jan 2018","At the Clifton playing fields [21]","East Midlands","/wiki/Clifton,_Nottingham","52.9030555555556","-1.1775"
